Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;Call-8;Best-8;Imp-8;Eq-8;Wrs-8;Tm-8;Call-9;Best-9;Imp-9;Eq-9;Wrs-9;Tm-9;Call-10;Best-10;Imp-10;Eq-10;Wrs-10;Tm-10;
66;0,217;273,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;29;14;14;1;14;0,008361;5;4;4;1;0;0,005455;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;15;15;15;0;0;0,011432;2;0;0;1;1;3,57E-4;3;0;0;1;2;4,72E-4;
67;0,219;272,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;29;14;14;1;14;0,008361;5;4;4;1;0;0,005455;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;16;16;16;0;0;0,012234;2;0;0;1;1;3,57E-4;3;0;0;1;2;4,72E-4;
70;0,222;269,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;31;14;14;1;16;0,008647;5;4;4;1;0;0,005455;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;17;17;17;0;0;0,012925;2;0;0;1;1;3,57E-4;3;0;0;1;2;4,72E-4;
76;0,226;265,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;35;14;14;1;20;0,009229;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;18;18;18;0;0;0,013694;2;0;0;1;1;3,57E-4;3;0;0;1;2;4,72E-4;
80;0,228;263,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;37;14;14;1;22;0,009495;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;19;19;19;0;0;0,01439;2;0;0;1;1;3,57E-4;3;0;0;1;2;4,72E-4;
81;0,23;259,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;37;14;14;1;22;0,009495;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;20;20;20;0;0;0,015113;2;0;0;1;1;3,57E-4;3;0;0;1;2;4,72E-4;
83;0,232;257,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;37;14;14;1;22;0,009495;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;21;21;21;0;0;0,01581;2;0;0;1;1;3,57E-4;4;0;0;2;2;6,21E-4;
84;0,234;253,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;37;14;14;1;22;0,009495;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;22;22;22;0;0;0,016511;2;0;0;1;1;3,57E-4;4;0;0;2;2;6,21E-4;
86;0,236;251,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;37;14;14;1;22;0,009495;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;23;23;23;0;0;0,017183;3;0;0;1;2;4,82E-4;4;0;0;2;2;6,21E-4;
90;0,238;249,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;38;14;14;1;23;0,009634;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;24;24;24;0;0;0,017835;4;0;0;2;2;6,27E-4;5;0;0;3;2;7,66E-4;
91;0,24;245,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;39;15;15;1;23;0,009759;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;24;24;24;0;0;0,017835;4;0;0;2;2;6,27E-4;5;0;0;3;2;7,66E-4;
92;0,247;243,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;39;15;15;1;23;0,009759;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;25;25;25;0;0;0,018528;4;0;0;2;2;6,27E-4;5;0;0;3;2;7,66E-4;
94;0,253;241,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;40;15;15;1;24;0,009923;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;26;26;26;0;0;0,019262;4;0;0;2;2;6,27E-4;5;0;0;3;2;7,66E-4;
96;0,259;239,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;41;15;15;1;25;0,010082;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;27;27;27;0;0;0,019981;4;0;0;2;2;6,27E-4;5;0;0;3;2;7,66E-4;
97;0,262;236,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;41;15;15;1;25;0,010082;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;28;28;28;0;0;0,020714;4;0;0;2;2;6,27E-4;5;0;0;3;2;7,66E-4;
